Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,Base fulfilment fee per unit,Base fulfilment fee quantity,Base fulfilment fee total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,FBA fulfilment fees per unit,FBA fulfilment fees quantity,FBA fulfilment fees total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,FixedClosingFee per unit,FixedClosingFee quantity,FixedClosingFee total,Inbound transportation charge per unit,Inbound transportation charge quantity,Inbound transportation charge total,Referral fee per unit,Referral fee quantity,Referral fee total,RefundCommissionFee per unit,RefundCommissionFee quantity,RefundCommissionFee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per unit
IN,03/25/2024,09/24/2024,B09Y5DZR1B,B09Y5DZR1B,,AO-6GM4-HZFN,INR,413.62,1,0,1,413.62,413.62,,,,,,,,,,,,,10.62,1,10.62,,,,54.16,1,54.16,,,,,,,,,348.84,348.84
IN,03/25/2024,09/24/2024,B0C85NFZKR,B0C85NFZKR,,B-AL,INR,418,1,0,1,418,418,,,,,,,,,,,,,10.62,1,10.62,,,,61.21,1,61.21,,,,15.42,26,401.01,,,-54.84,-54.84
IN,03/25/2024,09/24/2024,B0C85P9L7Q,B0C85P9L7Q,,B--AL,INR,836,1,0,1,836,836,,,,,,,,,,,,,35.4,1,35.4,,,,178.91,1,178.91,,,,19.8,9,178.24,,,443.45,443.45
IN,03/25/2024,09/24/2024,B0C85LGYMG,B0C85LGYMG,,BT-KL,INR,1570.38,1,1,0,1570.38,71.38,,,,,,,,,,,,,71.98,1,71.98,,,,336.08,1,336.08,153.4,1,153.4,15.38,15,230.72,,,-720.8,
IN,03/25/2024,09/24/2024,B0BK2BSLK7,B0BK2BSLK7,,Crew Length_Blue_L/XL,INR,399,1,0,1,399,399,,,,,,,,,,,,,14.16,1,14.16,,,,70.62,1,70.62,,,,,,,,,314.22,314.22
IN,03/25/2024,09/24/2024,B0BZPDKPSP,B0BTPFXZY2,,Crew Length Socks_Black_S/M_FBA,INR,399,1,0,1,399,399,15.34,1,15.34,71.98,1,71.98,15.34,1,15.34,11.8,16,188.8,14.16,1,14.16,,,,70.62,1,70.62,,,,14.79,103,1523.33,,,-1485.23,-1485.23
IN,03/25/2024,09/24/2024,B0D53RNKX9,B0D4ZB31LQ,,CricketKit_Black_S/M,INR,1199,1,0,1,1199,1199,,,,,,,,,,,,,71.98,1,71.98,,,,114.25,1,114.25,,,,10.66,45,479.89,,,532.88,532.88
IN,03/25/2024,09/24/2024,B0D5457JSV,B0C6DMSY9D,,GG-CS-L/XL,INR,998,1,0,1,998,998,,,,,,,,,,,,,35.4,1,35.4,,,,135.43,1,135.43,,,,12.65,18,227.63,,,599.54,599.54
IN,03/25/2024,09/24/2024,B0C85KL2K5,B0C85KL2K5,,GKL-L/Xl,INR,799,1,0,1,799,799,,,,,,,,,,,,,35.4,1,35.4,,,,175.55,1,175.55,,,,,,,,,588.05,588.05
IN,03/25/2024,09/24/2024,B0B9S2PYWM,B0C85NK9VR,,Knee and Ankle_L/XL combo,INR,1073,1,0,1,1073,1073,,,,,,,,,,,,,71.98,1,71.98,,,,240.57,1,240.57,,,,35.82,2,71.65,,,688.8,688.8
